﻿year,quarter,region,area,level_of_edu,value,unit,source
2562,"ไตรมาส 3",ภาคกลาง,นอกเขตเทศบาล,ไม่ทราบ,82.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,รวม,64.38,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,ไม่มีการศึกษา,49.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,ต่ำกว่าประถมศึกษา,55.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,ประถมศึกษา,76.21,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,มัธยมศึกษาตอนต้น,58.56,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,"มัธยมศึกษาตอนปลาย สายสามัญ",67.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",63.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,"มัธยมศึกษาตอนปลาย สายวิชาการ",26.04,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,"อุดมศึกษา สายวิชาการ",82.99,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,"อุดมศึกษา สายวิชาชีพ",87.18,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,"อุดมศึกษา สายวิชาการศึกษา",71.95,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,การศึกษาอื่นๆ,72.57,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,รวม,ไม่ทราบ,52.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,รวม,62.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,ไม่มีการศึกษา,42.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,ต่ำกว่าประถมศึกษา,53.07,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,ประถมศึกษา,72.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,มัธยมศึกษาตอนต้น,53.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",62.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",61.12,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายวิชาการ",26.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาการ",81.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาชีพ",85.42,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาการศึกษา",63.72,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,การศึกษาอื่นๆ,73.93,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,ในเขตเทศบาล,ไม่ทราบ,65.03,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,รวม,65.49,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,ไม่มีการศึกษา,51.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,ต่ำกว่าประถมศึกษา,57.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,ประถมศึกษา,77.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,มัธยมศึกษาตอนต้น,61.29,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",70.77,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",65.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายวิชาการ",26.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาการ",84.73,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาชีพ",88.77,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาการศึกษา",80.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,การศึกษาอื่นๆ,70.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคเหนือ,นอกเขตเทศบาล,ไม่ทราบ,50.87,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,รวม,62.96,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,ไม่มีการศึกษา,25.61,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,ต่ำกว่าประถมศึกษา,52.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,ประถมศึกษา,77.26,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,มัธยมศึกษาตอนต้น,55.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,"มัธยมศึกษาตอนปลาย สายสามัญ",67.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",59.38,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,"มัธยมศึกษาตอนปลาย สายวิชาการ",26.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,"อุดมศึกษา สายวิชาการ",85.16,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,"อุดมศึกษา สายวิชาชีพ",82.81,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,"อุดมศึกษา สายวิชาการศึกษา",71.42,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,การศึกษาอื่นๆ,100.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,รวม,ไม่ทราบ,54.05,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,รวม,60.41,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,ไม่มีการศึกษา,29.99,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,ต่ำกว่าประถมศึกษา,48.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,ประถมศึกษา,73.24,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,มัธยมศึกษาตอนต้น,51.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",60.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",60.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายวิชาการ",33.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาการ",83.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาชีพ",83.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาการศึกษา",67.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,การศึกษาอื่นๆ,100.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,ไม่ทราบ,50.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,รวม,64.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,ไม่มีการศึกษา,23.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,ต่ำกว่าประถมศึกษา,53.68,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,ประถมศึกษา,78.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,มัธยมศึกษาตอนต้น,56.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",72.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",58.73,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายวิชาการ",.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาการ",86.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาชีพ",82.61,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาการศึกษา",73.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,การศึกษาอื่นๆ,.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,ไม่ทราบ,55.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,รวม,67.18,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,ไม่มีการศึกษา,43.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,ต่ำกว่าประถมศึกษา,53.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,ประถมศึกษา,74.41,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,มัธยมศึกษาตอนต้น,58.99,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,"มัธยมศึกษาตอนปลาย สายสามัญ",73.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",73.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,"มัธยมศึกษาตอนปลาย สายวิชาการ",77.82,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,"อุดมศึกษา สายวิชาการ",84.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,"อุดมศึกษา สายวิชาชีพ",83.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,"อุดมศึกษา สายวิชาการศึกษา",74.26,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,การศึกษาอื่นๆ,66.72,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,รวม,ไม่ทราบ,80.21,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,รวม,66.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,ไม่มีการศึกษา,44.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,ต่ำกว่าประถมศึกษา,48.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,ประถมศึกษา,73.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,มัธยมศึกษาตอนต้น,57.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",69.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",72.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายวิชาการ",31.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,"อุดมศึกษา สายวิชาการ",83.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,"อุดมศึกษา สายวิชาชีพ",82.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,"อุดมศึกษา สายวิชาการศึกษา",69.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,การศึกษาอื่นๆ,44.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,ในเขตเทศบาล,ไม่ทราบ,77.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,รวม,67.56,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,ไม่มีการศึกษา,42.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,ต่ำกว่าประถมศึกษา,55.72,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,ประถมศึกษา,74.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,มัธยมศึกษาตอนต้น,59.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",75.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",74.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายวิชาการ",100.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาการ",85.82,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาชีพ",83.81,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาการศึกษา",78.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,การศึกษาอื่นๆ,70.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 3",ภาคใต้,นอกเขตเทศบาล,ไม่ทราบ,85.69,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,รวม,66.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,ไม่มีการศึกษา,47.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,50.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,ประถมศึกษา,74.61,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,62.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,"มัธยมศึกษาตอนปลาย สายสามัญ",68.95,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",68.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,"มัธยมศึกษาตอนปลาย สายวิชาการ",51.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,"อุดมศึกษา สายวิชาการ",82.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,"อุดมศึกษา สายวิชาชีพ",84.23,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,"อุดมศึกษา สายวิชาการศึกษา",67.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,การศึกษาอื่นๆ,94.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,รวม,ไม่ทราบ,81.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,รวม,66.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,ไม่มีการศึกษา,51.17,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,ต่ำกว่าประถมศึกษา,47.24,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,ประถมศึกษา,72.96,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,มัธยมศึกษาตอนต้น,62.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",64.27,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",68.57,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายวิชาการ",37.21,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาการ",81.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาชีพ",83.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,"อุดมศึกษา สายวิชาการศึกษา",63.93,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,การศึกษาอื่นๆ,95.06,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,ในเขตเทศบาล,ไม่ทราบ,78.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,รวม,65.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,ไม่มีการศึกษา,45.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,ต่ำกว่าประถมศึกษา,52.56,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,ประถมศึกษา,75.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,มัธยมศึกษาตอนต้น,62.04,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",73.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",69.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายวิชาการ",87.88,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาการ",82.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาชีพ",85.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,"อุดมศึกษา สายวิชาการศึกษา",72.26,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,การศึกษาอื่นๆ,94.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",ทั่วประเทศ,นอกเขตเทศบาล,ไม่ทราบ,87.06,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",กรุงเทพมหานคร,ในเขตเทศบาล,รวม,68.97,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",กรุงเทพมหานคร,ในเขตเทศบาล,ไม่มีการศึกษา,52.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",กรุงเทพมหานคร,ในเขตเทศบาล,ต่ำกว่าประถมศึกษา,41.57,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",กรุงเทพมหานคร,ในเขตเทศบาล,ประถมศึกษา,73.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",กรุงเทพมหานคร,ในเขตเทศบาล,มัธยมศึกษาตอนต้น,67.07,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",กรุงเทพมหานคร,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายสามัญ",58.45,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,"ไตรมาส 4",กรุงเทพมหานคร,ในเขตเทศบาล,"มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",71.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
